VARIABLE	GROUP	BETA	SE	zval	pval	QE	QEp	H2	n_cohort	POP	PHE	NAME
baitA_int	NC	-0.115954629	0.072601781	-1.597132014	0.944881858	10.53020437	0.160464471	1.50431491	8	EAS	scz	ZBTB33
baitB_int	NC	-0.053063789	0.034322104	-1.546052924	0.938954107	6.68879121	0.461985731	0.955541601	8	EAS	scz	MAGOH
baitC_int	NC	-0.023650972	0.041170897	-0.574458511	0.717171216	5.404265983	0.610754897	0.772037998	8	EAS	scz	KRAS
baitD_int	NC	0.104011739	0.113245377	0.918463442	0.179188145	4.980870927	0.662297757	0.71155299	8	EAS	scz	PPM1D
baitE_int	NC	-0.004018787	0.025059584	-0.16036925	0.563704895	5.226881724	0.632297452	0.746697389	8	EAS	scz	SF3B1
baitF_int	NC	0.0209591	0.031872991	0.65758185	0.25540343	4.973762014	0.663165317	0.710537431	8	EAS	scz	SMC1A
cacna1c_heart_int	NC	-0.107397094	0.049615488	-2.164588075	0.984790377	5.184669769	0.637438422	0.74066711	8	EAS	scz	CACNA1C_heart
combined_int	NC	-0.058565469	0.048346032	-1.21138108	0.887125306	7.753127247	0.354865542	1.107589607	8	EAS	scz	combine
all_combined_int	SCZ_related	0.128743736	0.029020696	4.436273254	4.58E-06	12.7873646	0.077461839	1.826766372	8	EAS	scz	All bait proteins
CACNA1C_combined_int	SCZ_related	0.100328159	0.032015828	3.133704988	0.000863072	8.525439627	0.288545115	1.217919947	8	EAS	scz	CACNA1C
CACNA1C_wk3_1_int	SCZ_related	0.153146174	0.049606374	3.087227738	0.001010164	13.91106307	0.052785982	1.987294724	8	EAS	scz	CACNA1C_wk3_1
CACNA1C_wk3_2_int	SCZ_related	0.11485534	0.03480211	3.30024073	0.00048301	9.489239299	0.219411492	1.355605614	8	EAS	scz	CACNA1C_wk3_2
CACNA1C_wk4_1_int	SCZ_related	0.099432765	0.034242237	2.903804564	0.001843291	6.287333916	0.506627965	0.898190559	8	EAS	scz	CACNA1C_wk4_1
CACNA1C_wk4_2_int	SCZ_related	0.028818293	0.027683859	1.040978167	0.148942841	2.590736885	0.920110934	0.370105269	8	EAS	scz	CACNA1C_wk4_2
CACNA1C_wk7_int	SCZ_related	0.124196934	0.030725776	4.042108905	2.65E-05	17.44926445	0.01471798	2.492752065	8	EAS	scz	CACNA1C_wk7
CUL3_wk7_int	SCZ_related	0.001718246	0.032543522	0.052798404	0.478946267	8.515921307	0.28930251	1.216560187	8	EAS	scz	CUL3_wk7
HCN1_combined_int	SCZ_related	0.073094647	0.027977502	2.612622316	0.004492527	14.66745918	0.040506361	2.095351311	8	EAS	scz	HCN1
HCN1_wk2_int	SCZ_related	0.052405896	0.030981155	1.691541061	0.045366756	11.30501126	0.12585686	1.615001609	8	EAS	scz	HCN1_wk2
HCN1_wk3_int	SCZ_related	0.052339366	0.030482493	1.717030373	0.042986811	5.492279804	0.600115236	0.784611401	8	EAS	scz	HCN1_wk3
HCN1_wk4_int	SCZ_related	0.023886668	0.023889842	0.999867149	0.158687402	8.592831376	0.283225155	1.227547339	8	EAS	scz	HCN1_wk4
HCN1_wk7_1_int	SCZ_related	0.06098265	0.024088227	2.531637092	0.005676571	10.10119666	0.182910916	1.443028094	8	EAS	scz	HCN1_wk7_1
HCN1_wk7_2_int	SCZ_related	0.021384765	0.028108962	0.760781029	0.223393934	5.568303585	0.590958462	0.795471941	8	EAS	scz	HCN1_wk7_2
RIMS1_combined_int	SCZ_related	0.022283796	0.028790194	0.77400645	0.219463489	6.633429489	0.468017587	0.947632784	8	EAS	scz	RIMS1
RIMS1_wk4_1_int	SCZ_related	0.018386423	0.025564233	0.719224513	0.236001299	2.888203576	0.895148061	0.412600511	8	EAS	scz	RIMS1_wk4_1
RIMS1_wk4_2_int	SCZ_related	-0.069201769	0.030687911	-2.255017284	0.987933878	6.89698811	0.439683754	0.985284016	8	EAS	scz	RIMS1_wk4_2
SYNGAP1_combined_int	SCZ_related	0.063837226	0.033841621	1.886352515	0.029623733	10.48198405	0.162864877	1.497426292	8	EAS	scz	SYNGAP1
SYNGAP1_wk2_int	SCZ_related	-0.080482646	0.053896148	-1.493291252	0.932319518	4.859370333	0.677120152	0.694195762	8	EAS	scz	SYNGAP1_wk2
SYNGAP1_wk3_int	SCZ_related	0.047514773	0.025063981	1.89573925	0.028997266	6.801366442	0.44985058	0.971623777	8	EAS	scz	SYNGAP1_wk3
SYNGAP1_wk4_1_int	SCZ_related	0.077578708	0.027712761	2.799385765	0.002559996	10.41926688	0.166032545	1.488466697	8	EAS	scz	SYNGAP1_wk4_1
SYNGAP1_wk4_2_int	SCZ_related	0.031855913	0.030663733	1.038879139	0.149430475	11.56109588	0.115948014	1.651585126	8	EAS	scz	SYNGAP1_wk4_2
SYNGAP1_wk7_int	SCZ_related	0.105352057	0.030554321	3.448024792	0.000282351	12.82303497	0.07653931	1.831862138	8	EAS	scz	SYNGAP1_wk7
TCF4_wk1_int	SCZ_related	-0.054766413	0.053856631	-1.016892664	0.845397753	6.189288104	0.517829406	0.884184015	8	EAS	scz	TCF4_wk1
wk2_combined_int	SCZ_related	0.05550897	0.03516428	1.57856126	0.057218363	8.446173999	0.294897954	1.206596286	8	EAS	scz	Week 2
wk3_combined_int	SCZ_related	0.127345371	0.034860085	3.653042486	0.000129576	13.39028109	0.063151255	1.912897298	8	EAS	scz	Week 3
wk4_combined_int	SCZ_related	0.094065539	0.026765379	3.514448281	0.000220334	3.856960749	0.796097543	0.550994393	8	EAS	scz	Week 4
wk7_combined_int	SCZ_related	0.101886739	0.02631359	3.872019781	5.40E-05	12.32177635	0.090461375	1.760253764	8	EAS	scz	Week 7
baitA_int	NC	-0.197354908	0.070542745	-2.797664146	0.99742632	2.860587002	0.897592535	0.408655286	8	EAS	height	ZBTB33
baitB_int	NC	-0.016149605	0.03498234	-0.461650214	0.677833911	3.618842064	0.822482269	0.516977438	8	EAS	height	MAGOH
baitC_int	NC	-0.003681736	0.036449283	-0.101009821	0.540228668	3.493718842	0.835890328	0.499102692	8	EAS	height	KRAS
baitD_int	NC	-0.117920384	0.102267449	-1.153058821	0.875556879	7.644296862	0.365001333	1.092042409	8	EAS	height	PPM1D
baitE_int	NC	-0.007939282	0.02282014	-0.34790679	0.636044907	11.95790189	0.101951815	1.708271699	8	EAS	height	SF3B1
baitF_int	NC	-0.042972259	0.030033015	-1.430833978	0.923761099	11.38308983	0.12275981	1.62615569	8	EAS	height	SMC1A
cacna1c_heart_int	NC	0.015678392	0.049482387	0.316847934	0.375679495	6.871353812	0.442396382	0.981621973	8	EAS	height	CACNA1C_heart
combined_int	NC	-0.00589604	0.042243478	-0.13957279	0.55550123	7.193943432	0.408969924	1.027706205	8	EAS	height	combine
all_combined_int	SCZ_related	0.013161994	0.028464933	0.462393283	0.321899658	1.918738548	0.964200671	0.274105507	8	EAS	height	All bait proteins
CACNA1C_combined_int	SCZ_related	0.006253532	0.034447491	0.181538109	0.427972612	3.514986436	0.833635596	0.502140919	8	EAS	height	CACNA1C
CACNA1C_wk3_1_int	SCZ_related	0.009963976	0.052701175	0.189065532	0.425020728	5.695576531	0.575710299	0.81365379	8	EAS	height	CACNA1C_wk3_1
CACNA1C_wk3_2_int	SCZ_related	-0.022388201	0.036689434	-0.610208423	0.729138125	4.28448788	0.746488679	0.612069697	8	EAS	height	CACNA1C_wk3_2
CACNA1C_wk4_1_int	SCZ_related	0.035789421	0.033903547	1.055624677	0.145569861	7.012169488	0.427613876	1.001738498	8	EAS	height	CACNA1C_wk4_1
CACNA1C_wk4_2_int	SCZ_related	-0.016585381	0.029023441	-0.57144777	0.716151922	8.455553429	0.294140831	1.207936204	8	EAS	height	CACNA1C_wk4_2
CACNA1C_wk7_int	SCZ_related	-0.010016644	0.030770671	-0.325525688	0.627608378	7.078453642	0.420757308	1.011207663	8	EAS	height	CACNA1C_wk7
CUL3_wk7_int	SCZ_related	-0.016515402	0.033887955	-0.487353146	0.686995954	2.388046056	0.935288796	0.341149437	8	EAS	height	CUL3_wk7
HCN1_combined_int	SCZ_related	0.004814833	0.027531936	0.17488173	0.430586283	4.744810924	0.691072236	0.677830132	8	EAS	height	HCN1
HCN1_wk2_int	SCZ_related	0.021552668	0.028767891	0.749191813	0.226870802	6.185207086	0.51829799	0.883601012	8	EAS	height	HCN1_wk2
HCN1_wk3_int	SCZ_related	0.021182634	0.029202604	0.725367972	0.234113158	4.368035042	0.736544233	0.624005006	8	EAS	height	HCN1_wk3
HCN1_wk4_int	SCZ_related	-0.029325625	0.02320739	-1.263633039	0.896819115	7.694150281	0.360334299	1.099164326	8	EAS	height	HCN1_wk4
HCN1_wk7_1_int	SCZ_related	-0.001197751	0.024158938	-0.049577978	0.519770652	3.817990546	0.80048653	0.545427221	8	EAS	height	HCN1_wk7_1
HCN1_wk7_2_int	SCZ_related	-0.000893773	0.027552188	-0.032439293	0.512939136	3.538165591	0.831166649	0.505452227	8	EAS	height	HCN1_wk7_2
RIMS1_combined_int	SCZ_related	0.002652044	0.028638125	0.092605364	0.463108541	5.500456747	0.599128779	0.785779535	8	EAS	height	RIMS1
