Trait	Network	BETA	SE	Z	P	QE	QEp	H2
SCZ	all_combined	0.0823478260869566	0.0151566801358682	5.43310443637858	2.76909858531677e-08	4.84601769911505	0.0277100366591356	4.84601769911505
SCZ	wk2_combined	0.03475	0.0185615530061469	1.8721493825701	0.03059296981403	0.693877551020407	0.4048486050566	0.693877551020407
SCZ	wk3_combined	0.0474545454545454	0.0179990817029303	2.63649814128127	0.00418833295554564	9.61538461538461	0.00192954047584708	9.61538461538461
SCZ	wk4_combined	0.0676279069767442	0.014207912998725	4.75987620298722	9.68558695408589e-07	1.79086294416243	0.180821057133881	1.79086294416243
SCZ	wk7_combined	0.0385853658536585	0.0134522753494026	2.86831519958235	0.00206332096532682	11.0987791342952	0.000863845688808035	11.0987791342952
SCZ	CACNA1C_combined	0.02832	0.0162917402385381	1.73830417041693	0.0410786159612511	9.30563798219585	0.00228449740468093	9.30563798219585
SCZ	CUL3_wk7	-0.0154339622641509	0.0176109613427593	-0.876383859106963	0.809589304967571	0.526527871054399	0.468070283645389	0.526527871054399
SCZ	HCN1_combined	0.0437272727272727	0.0143992653623442	3.03677108706008	0.00119563489505281	2.03461538461538	0.153753073018142	2.03461538461538
SCZ	RIMS1_combined	0.0318723404255319	0.0157067974374203	2.02920681650852	0.021218614790486	0.219742489270386	0.639236198695051	0.219742489270386
SCZ	SYNGAP1_combined	0.0375555555555555	0.0178086152298834	2.10884198859753	0.0174791114665454	1.13367609254499	0.286992577918753	1.13367609254499
SCZ	TCF4_wk1	-0.0612068965517241	0.0289669950361937	-2.11298743536384	0.982699078342819	0.0249687890137307	0.874444857271369	0.0249687890137307
height	all_combined	-0.00504444444444444	0.0149592367931021	-0.337212687666694	0.632021713252743	0.783783783783784	0.375986416554088	0.783783783783784
height	wk2_combined	0.00809615384615385	0.0177048659443247	0.457284108877936	0.32373342511535	0.445791726105564	0.504340201120635	0.445791726105564
height	wk3_combined	-0.00414545454545454	0.0183590633369889	-0.225798804076377	0.589321046366211	0.00563556668753913	0.940158689553164	0.00563556668753913
height	wk4_combined	0.00369767441860465	0.014207912998725	0.260254579186715	0.397333703090296	0.328934010152284	0.566287456706893	0.328934010152284
height	wk7_combined	-0.00661904761904762	0.0140074486177907	-0.472537704735241	0.681728482239341	0.51931330472103	0.471134753706861	0.51931330472103
height	CACNA1C_combined	0.00343396226415094	0.0172373954960947	0.199215842377634	0.421046953685216	0.010547132498352	0.918201682251552	0.010547132498352
height	CUL3_wk7	-0.0361636363636363	0.0183590633369889	-1.96979746187681	0.975569206202252	0.6017532874139	0.437909848361597	0.6017532874139
height	HCN1_combined	0.00437777777777778	0.0149592367931021	0.292647134230567	0.384895941128148	0.000931966449207883	0.975645862890341	0.000931966449207883
height	RIMS1_combined	0.00917021276595744	0.0157067974374203	0.583837208221077	0.279664921109627	0.0858369098712446	0.76953792228805	0.0858369098712446
height	SYNGAP1_combined	0.0306545454545454	0.0183590633369889	1.66972273540689	0.0474871166841098	1.05259862241703	0.304909359022585	1.05259862241703
height	TCF4_wk1	0.00553246753246753	0.0271088210138011	0.2040836644888	0.419144059771183	1.94020826335237	0.16364592297993	1.94020826335237
