Bait	Interactor	IP	TimePoint	Labeling	Bait_logFC	Bait_FDR	Int_logFC	Int_FDR
CACNA1C	CNTN1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5045	0.093900238
CACNA1C	PLEKHO1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.3845	0.093900238
CACNA1C	ATP1A1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.378	0.088427105
CACNA1C	STXBP1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.394	0.085922663
CACNA1C	ATP1A3	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.393	0.080889966
CACNA1C	PPIA	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.398	0.076365931
CACNA1C	CEP350	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.399	0.063704522
CACNA1C	PHB2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.3935	0.063639551
CACNA1C	CAMKV	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.42	0.062458099
CACNA1C	MAP2K2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.4145	0.054758519
CACNA1C	HADHA	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.4185	0.051101039
CACNA1C	ROBO1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.603	0.046606277
CACNA1C	GNAS	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.4385	0.043393857
CACNA1C	PHB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.443	0.041083407
CACNA1C	ATP2B4	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.443	0.040969839
CACNA1C	KIAA1549	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5165	0.040199511
CACNA1C	CACNA2D1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.6655	0.039046451
CACNA1C	FLOT1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.47	0.03410272
CACNA1C	ATP2C1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.532	0.033466265
CACNA1C	HACD3	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.4915	0.032439661
CACNA1C	CETN2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5705	0.027452791
CACNA1C	FLOT2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5975	0.026803588
CACNA1C	CEP128	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.561	0.025032488
CACNA1C	ATP6V0D1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.727	0.023041907
CACNA1C	SLC4A8	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.574	0.022335248
CACNA1C	CEP250	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.553	0.016536279
CACNA1C	HADHB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5755	0.015766023
CACNA1C	PLXNA1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.591	0.013585782
CACNA1C	NSG2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.7275	0.013585782
CACNA1C	CROCC	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.5915	0.013585782
CACNA1C	CNTROB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.613	0.011351861
CACNA1C	VANGL2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.6495	0.010502661
CACNA1C	CEP135	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.69	0.009305734
CACNA1C	ODF2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.6475	0.009108464
CACNA1C	DYNLL2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.6685	0.008484003
CACNA1C	PLXNA4	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.6495	0.008484003
CACNA1C	ACVR1B	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.8755	0.006855943
CACNA1C	CEP57	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.719	0.006080419
CACNA1C	ATP2B1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.7445	0.005906978
CACNA1C	NRP1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.725	0.005172955
CACNA1C	PDE4DIP	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.7715	0.00510338
CACNA1C	ADGRL2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.78	0.00510338
CACNA1C	SCN9A	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.735	0.00510338
CACNA1C	HLA-C	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.799	0.004945638
CACNA1C	ALB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.986	0.004773774
CACNA1C	PAPSS1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.833	0.004634468
CACNA1C	DAAM1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.761	0.004628017
CACNA1C	DYNLL1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.7685	0.004359411
CACNA1C	HBB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.7775	0.004339362
CACNA1C	PCDHB15	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.806	0.003922216
CACNA1C	TRIM21	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.8745	0.003729346
CACNA1C	NTRK2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.1035	0.003729346
CACNA1C	CDK5RAP2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.8235	0.003373394
CACNA1C	ISLR2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.897	0.00324476
CACNA1C	TMEFF2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9015	0.00324476
CACNA1C	MIB1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.894	0.003049608
CACNA1C	CEP68	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.8955	0.002786464
CACNA1C	PCDHA6	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9295	0.002786464
CACNA1C	PCM1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.893	0.002705731
CACNA1C	SYT11	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.8835	0.002705731
CACNA1C	APLP2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9315	0.002606399
CACNA1C	ADGRL3	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9385	0.002563922
CACNA1C	PRKACB	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0885	0.002094663
CACNA1C	PTPRF	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9595	0.002041788
CACNA1C	CEP131	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.977	0.002007775
CACNA1C	PRKACA	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0815	0.002007775
CACNA1C	EPHA3	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0075	0.0019241
CACNA1C	AKAP9	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	0.9835	0.0019241
CACNA1C	JAK1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.143	0.0019241
CACNA1C	EPHA5	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0135	0.0018903
CACNA1C	PRKAR2B	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0135	0.0018903
CACNA1C	ACVR2A	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.058	0.0018903
CACNA1C	PRKAR2A	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0	0.0018903
CACNA1C	PCNT	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.028	0.001806123
CACNA1C	ROBO2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.04	0.001774747
CACNA1C	PCDHA4	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.0915	0.001402485
CACNA1C	HECA	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.25	0.001402485
CACNA1C	SYT5	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.115	0.001365704
CACNA1C	TMEM132A	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.2335	0.001365704
CACNA1C	ICA1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.304	0.001199065
CACNA1C	XPR1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.1965	0.001151492
CACNA1C	KIAA1024	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.2075	0.001032608
CACNA1C	PCDHB2	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.253	0.000976078
CACNA1C	MEF2C	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.23	0.000976078
CACNA1C	ITM2C	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.297	0.000976078
CACNA1C	HLA-A	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.3495	0.000949818
CACNA1C	APP	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.359	0.000895702
CACNA1C	KIDINS220	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.3295	0.000884605
CACNA1C	ICA1L	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.349	0.000884605
CACNA1C	TFRC	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.439	0.000884605
CACNA1C	PCDHGB6	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.3305	0.000884605
CACNA1C	PTPRS	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.4025	0.000884605
CACNA1C	DDX52	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.3945	0.000884605
CACNA1C	CACNB1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.4545	0.000884605
CACNA1C	TRMT61B	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.524	0.000818206
CACNA1C	CACNB3	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.5885	0.000818206
CACNA1C	PICK1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.5615	0.000818206
CACNA1C	UNK	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.5325	0.000818206
CACNA1C	PCDHGB5	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.655	0.000818206
CACNA1C	PCDHGB4	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.6755	0.000818206
CACNA1C	THBS1	CACNA1C_wk3_1	wk3	iTRAQ	1.99	0.000818206	1.9455	0.000818206
CACNA1C	KRAS	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2535	0.098609064
CACNA1C	KRT77	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.476	0.098609064
CACNA1C	LSS	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2295	0.096315899
CACNA1C	DSC1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.457	0.096315899
CACNA1C	CRABP1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.22	0.096251661
CACNA1C	S100A9	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	1.07	0.096251661
CACNA1C	LZTS1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.295	0.095174772
CACNA1C	U2SURP	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2405	0.09515876
CACNA1C	SLC25A5	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.221	0.093720348
CACNA1C	ABCA1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2435	0.091151133
CACNA1C	MYO18A	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.223	0.091070607
CACNA1C	IGLL5	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2605	0.089559325
CACNA1C	SRCIN1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2275	0.088196264
CACNA1C	RPS27L	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.25	0.088196264
CACNA1C	UQCRQ	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.2355	0.083252323
CACNA1C	NDRG4	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.259	0.083048577
CACNA1C	SGPL1	CACNA1C_wk3_2	wk3	iTRAQ	1.671	0.000488572	0.24	0.083048577
