Trait	Network	Population	Interactors	Non-interactors	BETA	SE	P
SCZ	all_combined	EAS	403	1154	0.23544	0.059182	3.66E-05
SCZ	all_combined	EUR	403	1153	0.2035	0.074315	0.0031283
SCZ	wk2_combined	EAS	173	708	0.29545	0.08768	0.00039408
SCZ	wk2_combined	EUR	173	707	0.090369	0.11389	0.21387
SCZ	wk3_combined	EAS	224	1003	0.044877	0.073061	0.26959
SCZ	wk3_combined	EUR	224	1003	0.15223	0.09358	0.052035
SCZ	wk4_combined	EAS	342	708	0.20373	0.070926	0.002082
SCZ	wk4_combined	EUR	342	708	0.28779	0.090479	0.00075884
SCZ	wk7_combined	EAS	363	758	0.29205	0.065642	4.78E-06
SCZ	wk7_combined	EUR	363	758	0.1253	0.083336	0.066503
SCZ	CACNA1C_combined	EAS	280	1097	0.085723	0.068778	0.10643
SCZ	CACNA1C_combined	EUR	280	1097	0.16315	0.088321	0.032477
SCZ	CUL3_wk7	EAS	59	236	-0.0078194	0.13528	0.52303
SCZ	CUL3_wk7	EUR	59	236	-0.14492	0.2072	0.75758
SCZ	HCN1_combined	EAS	346	811	0.26682	0.065815	2.70E-05
SCZ	HCN1_combined	EUR	346	810	0.15245	0.084439	0.035651
SCZ	RIMS1_combined	EAS	148	450	0.11914	0.098387	0.11321
SCZ	RIMS1_combined	EUR	148	450	0.10302	0.12168	0.19878
SCZ	SYNGAP1_combined	EAS	164	701	0.17782	0.090348	0.024699
SCZ	SYNGAP1_combined	EUR	164	701	0.078931	0.11884	0.25339
SCZ	TCF4_wk1	EAS	26	386	-0.19185	0.19519	0.83686
SCZ	TCF4_wk1	EUR	26	386	-0.23571	0.28456	0.796
ADHD	all_combined	EUR	403	1147	0.097468	0.060826	0.05465
ADHD	CACNA1C_combined	EUR	279	1092	-0.031709	0.071133	0.67208
ADHD	CUL3_wk7	EUR	59	236	0.021223	0.14312	0.44111
ADHD	HCN1_combined	EUR	346	806	0.081062	0.066152	0.11036
ADHD	RIMS1_combined	EUR	148	450	0.13264	0.096551	0.085029
ADHD	SYNGAP1_combined	EUR	164	701	0.0051263	0.090485	0.47742
ADHD	TCF4_wk1	EUR	26	385	0.15025	0.20819	0.23546
ADHD	wk2_combined	EUR	173	707	-0.069793	0.088677	0.78426
ADHD	wk3_combined	EUR	224	1000	0.012536	0.072658	0.43152
ADHD	wk4_combined	EUR	342	706	0.033254	0.071881	0.32187
ADHD	wk7_combined	EUR	363	754	0.0482	0.065062	0.22949
ASD	all_combined	EUR	403	1147	0.059652	0.05736	0.14927
ASD	CACNA1C_combined	EUR	279	1092	0.021981	0.067848	0.37301
ASD	CUL3_wk7	EUR	59	236	0.41756	0.13529	0.0011124
ASD	HCN1_combined	EUR	346	806	0.064541	0.063922	0.15644
ASD	RIMS1_combined	EUR	148	450	-0.051352	0.089712	0.71636
ASD	SYNGAP1_combined	EUR	164	701	0.12836	0.087506	0.071409
ASD	TCF4_wk1	EUR	26	385	0.21824	0.17872	0.11138
ASD	wk2_combined	EUR	173	707	-0.046034	0.084749	0.70642
ASD	wk3_combined	EUR	224	1000	0.11299	0.071549	0.057296
ASD	wk4_combined	EUR	342	706	-0.016467	0.06853	0.59492
ASD	wk7_combined	EUR	363	754	0.2056	0.061863	0.00046047
BIP	all_combined	EUR	403	1153	0.069767	0.075986	0.17935
BIP	CACNA1C_combined	EUR	280	1097	-0.056518	0.091717	0.73107
BIP	CUL3_wk7	EUR	59	236	0.11579	0.19557	0.27713
BIP	HCN1_combined	EUR	346	810	-0.0012025	0.084322	0.50569
BIP	RIMS1_combined	EUR	148	450	-0.024891	0.13131	0.57513
BIP	SYNGAP1_combined	EUR	164	701	0.20082	0.11984	0.047093
BIP	TCF4_wk1	EUR	26	386	0.36343	0.28871	0.10443
BIP	wk2_combined	EUR	173	707	-0.080901	0.11326	0.76237
BIP	wk3_combined	EUR	224	1003	-0.0098043	0.098518	0.53963
BIP	wk4_combined	EUR	342	708	0.090883	0.093403	0.1654
BIP	wk7_combined	EUR	363	758	0.12046	0.085167	0.078783
MDD	all_combined	EUR	402	1151	0.031246	0.067117	0.32081
MDD	CACNA1C_combined	EUR	278	1095	0.0067972	0.080315	0.46628
MDD	CUL3_wk7	EUR	59	236	-0.035686	0.16768	0.58419
MDD	HCN1_combined	EUR	345	810	0.051455	0.076731	0.25132
MDD	RIMS1_combined	EUR	148	450	0.070868	0.11239	0.26429
MDD	SYNGAP1_combined	EUR	164	700	0.087084	0.11078	0.21602
MDD	TCF4_wk1	EUR	26	384	-0.075237	0.24604	0.62004
MDD	wk2_combined	EUR	172	707	-0.1396	0.10258	0.91303
MDD	wk3_combined	EUR	222	1002	-0.0023385	0.084256	0.51107
MDD	wk4_combined	EUR	341	705	0.038997	0.081084	0.31533
MDD	wk7_combined	EUR	362	758	0.048493	0.075687	0.26093
height	all_combined	EAS	403	1152	0.028157	0.11373	0.40225
height	all_combined	EUR	403	1151	0.16566	0.13321	0.10694
height	CACNA1C_combined	EAS	280	1096	0.21196	0.13226	0.054639
height	CACNA1C_combined	EUR	280	1095	0.17885	0.15591	0.12577
height	CUL3_wk7	EAS	59	236	0.28581	0.28559	0.15889
height	CUL3_wk7	EUR	59	236	0.1522	0.33863	0.32672
height	HCN1_combined	EAS	346	810	0.040978	0.12047	0.3669
height	HCN1_combined	EUR	346	810	0.04202	0.14908	0.38905
height	RIMS1_combined	EAS	148	450	0.15756	0.17331	0.18184
height	RIMS1_combined	EUR	148	450	0.23465	0.21249	0.13497
height	SYNGAP1_combined	EAS	164	701	-0.10433	0.16737	0.73338
height	SYNGAP1_combined	EUR	164	701	-0.16027	0.20955	0.77769
height	TCF4_wk1	EAS	26	385	-0.21835	0.41291	0.70138
height	TCF4_wk1	EUR	26	385	-0.62564	0.50747	0.89082
height	wk2_combined	EAS	173	707	0.077957	0.16557	0.31895
height	wk2_combined	EUR	173	707	-0.069616	0.20801	0.63102
height	wk3_combined	EAS	224	1002	-0.15403	0.13985	0.86451
height	wk3_combined	EUR	224	1002	-0.11211	0.16361	0.75333
height	wk4_combined	EAS	342	707	-0.087647	0.12675	0.75529
height	wk4_combined	EUR	342	706	0.085066	0.15765	0.29481
height	wk7_combined	EAS	363	758	0.12846	0.1253	0.15274
height	wk7_combined	EUR	363	758	-0.10965	0.14307	0.7782
