Trait	Network	BETA	SE	Z	P	QE	QEp	H2
SCZ	all_combined	0.221280333	0.046591813	4.74933938	1.02E-06	0.113034658	0.736715323	0.113034658
SCZ	wk2_combined	0.206242766	0.070060823	2.943767385	0.001621218	2.035858357	0.153627436	2.035858357
SCZ	wk3_combined	0.091944154	0.058023215	1.584609777	0.056527511	0.81763487	0.365872583	0.81763487
SCZ	wk4_combined	0.240668382	0.056227824	4.280236489	9.33E-06	0.534622984	0.464669719	0.534622984
SCZ	wk7_combined	0.218577383	0.051928684	4.209183975	1.28E-05	2.470779533	0.115980391	2.470779533
SCZ	CACNA1C_combined	0.119620569	0.054683348	2.187513624	0.014352525	0.478408302	0.489144176	0.478408302
SCZ	CUL3_wk7	-0.061974297	0.115745237	-0.535437127	0.703826188	0.306970463	0.579545208	0.306970463
SCZ	HCN1_combined	0.216723087	0.052306652	4.143317897	1.71E-05	1.141249368	0.285388485	1.141249368
SCZ	RIMS1_combined	0.111933111	0.076933766	1.454928263	0.072844561	0.010612356	0.917950043	0.010612356
SCZ	SYNGAP1_combined	0.135109981	0.072587095	1.861349889	0.031347391	0.438802971	0.507700777	0.438802971
SCZ	TCF4_wk1	-0.20969478	0.163731195	-1.280725892	0.899855019	0.01615556	0.89885767	0.01615556
height	all_combined	0.091484999	0.086763172	1.054422024	0.145844872	0.616278823	0.432433469	0.616278823
height	wk2_combined	0.012552906	0.130375877	0.096282425	0.461648135	0.308111233	0.578841527	0.308111233
height	wk3_combined	-0.134711105	0.106631584	-1.263332118	0.896765076	0.03793284	0.84557806	0.03793284
height	wk4_combined	-0.010673116	0.099363607	-0.107414735	0.542770017	0.728994316	0.393209364	0.728994316
height	wk7_combined	0.017288174	0.094467121	0.183007311	0.427396141	1.567535514	0.210565278	1.567535514
height	CACNA1C_combined	0.196763662	0.101197252	1.944357754	0.025926162	0.026226206	0.871349109	0.026226206
height	CUL3_wk7	0.224681424	0.219101699	1.025466368	0.152571593	0.090972109	0.762944939	0.090972109
height	HCN1_combined	0.041443701	0.094226694	0.439829725	0.330030218	2.96E-05	0.995662408	2.96E-05
height	RIMS1_combined	0.192190554	0.134994133	1.423695611	0.077267302	0.07903974	0.778602968	0.07903974
height	SYNGAP1_combined	-0.12916996	0.131592488	-0.981590687	0.836849231	0.043508246	0.834771203	0.043508246
height	TCF4_wk1	-0.401072478	0.321968659	-1.245687945	0.893560509	0.387563577	0.533582877	0.387563577
