Variable	Test	Set	IntCount	nonIntCount	pDir	Stat	Pvalue
gnomAD pLI	Conditional	All combined	421	1199	less	0.0671878188276453	0.0600139130970208
gnomAD pLI	Conditional	Week 2	177	729	less	0.0328055613680221	0.735983681978653
gnomAD pLI	Conditional	Week 3	226	1039	less	0.0651451787372133	0.20689686216293
gnomAD pLI	Conditional	Week 4	358	731	less	0.137574608900335	0.000112046129873895
gnomAD pLI	Conditional	Week 7	381	793	less	0.0504976285278338	0.269144139423093
gnomAD pLI	Conditional	CACNA1C	292	1136	less	0.0802985722554506	0.0500084091609378
gnomAD pLI	Conditional	CUL3	61	247	less	0.147408243180461	0.119321569048077
gnomAD pLI	Conditional	HCN1	356	842	less	0.0633857322052898	0.133912885833583
gnomAD pLI	Conditional	RIMS1	154	475	less	0.19717019822283	0.000118305050158871
gnomAD pLI	Conditional	SYNGAP1	171	723	less	0.0876222367814419	0.119610327917612
gnomAD pLI	Conditional	TCF4	26	410	less	0.13733583489681	0.397606669935667
SCHEMA P-value	Conditional	All combined	409	1139	greater	0.0470386454037879	0.26402051481257
SCHEMA P-value	Conditional	Week 2	169	690	greater	0.0445416345081897	0.583536751020779
SCHEMA P-value	Conditional	Week 3	217	979	greater	0.0255174329114162	0.793484655767253
SCHEMA P-value	Conditional	Week 4	348	691	greater	0.0503268626178952	0.309626594505748
SCHEMA P-value	Conditional	Week 7	367	753	greater	0.0335479155132422	0.573843985013487
SCHEMA P-value	Conditional	CACNA1C	284	1074	greater	0.0497023106984552	0.329657489085187
SCHEMA P-value	Conditional	CUL3	58	226	greater	0.187519072322246	0.0389323898536369
SCHEMA P-value	Conditional	HCN1	342	803	greater	0.0597321448078478	0.180590800462944
SCHEMA P-value	Conditional	RIMS1	147	441	greater	0.102040816326531	0.100668899772898
SCHEMA P-value	Conditional	SYNGAP1	165	677	greater	0.0294078152276084	0.794958965386023
SCHEMA P-value	Conditional	TCF4	25	396	greater	0.105555555555556	0.592137213733178
DD P-value	Conditional	All combined	327	880	greater	0.0180462885738115	0.856171305505219
DD P-value	Conditional	Week 2	143	551	greater	3.81639164714898e-17	1
DD P-value	Conditional	Week 3	182	761	greater	5.76795555762288e-17	1
DD P-value	Conditional	Week 4	282	524	greater	0.0521493151426561	0.368919165251596
DD P-value	Conditional	Week 7	302	580	greater	0.00801552865951131	0.974804027194375
DD P-value	Conditional	CACNA1C	220	844	greater	0.0015941404566997	0.999113427870624
DD P-value	Conditional	CUL3	46	173	greater	0.345312892686605	0.000172358402723564
DD P-value	Conditional	HCN1	279	627	greater	0.0217454682649929	0.833097722694918
DD P-value	Conditional	RIMS1	128	336	greater	0.0438988095238096	0.699600735585735
DD P-value	Conditional	SYNGAP1	130	541	greater	0.0916678515569458	0.171787302839682
DD P-value	Conditional	TCF4	14	296	greater	-1.11022302462516e-16	1
ASD Q-value	Conditional	All combined	396	1120	greater	0.0735569985569986	0.0421777619516588
ASD Q-value	Conditional	Week 2	172	686	greater	0.0349176215336633	0.715095344938062
ASD Q-value	Conditional	Week 3	215	983	greater	0.107024060185952	0.0175734805054849
ASD Q-value	Conditional	Week 4	334	694	greater	0.0689658147681582	0.117077713804274
ASD Q-value	Conditional	Week 7	359	743	greater	0.0512452340695142	0.280474512702584
ASD Q-value	Conditional	CACNA1C	275	1077	greater	0.0983877774964126	0.0143909807719199
ASD Q-value	Conditional	CUL3	59	229	greater	0.169047442824365	0.0684754307191385
ASD Q-value	Conditional	HCN1	339	794	greater	0.0480707072958695	0.333555225235934
ASD Q-value	Conditional	RIMS1	148	439	greater	0.0705842516776458	0.331909159595582
ASD Q-value	Conditional	SYNGAP1	157	680	greater	0.0912420382165606	0.119582547335872
ASD Q-value	Conditional	TCF4	25	371	greater	0.274285714285714	0.0294766797810378
