DegType	CellType	Network	OverlapCount	DegCount	IntCount	PopCount	Pvalue	OverlapGenes
All DEGs	Ex-NRGN:231	All combined	10	42	431	1668	0.677439591550782	EPN2,SCN2A,ITM2C,BMPR2,PTPRN,WASF1,NEGR1,SEC23A,ATP2B2,ST7
All DEGs	Ex-NRGN:231	Week 2	6	33	179	923	0.642573139316174	PCM1,GTF2I,PPFIA2,ITM2C,OSBPL6,ST7
All DEGs	Ex-NRGN:231	Week 3	6	40	236	1300	0.762209334863262	HACD3,POM121C,ITM2C,APP,SYT7,NEGR1
All DEGs	Ex-NRGN:231	Week 4	10	33	364	1119	0.672945277607766	EPN2,POM121C,ITM2C,PTPRA,BMPR2,WASF1,APP,RTN3,NEGR1,SEC23A
All DEGs	Ex-NRGN:231	Week 7	14	50	386	1194	0.793058596879551	SCN2A,RAB5B,MAPK8IP3,ITM2C,OSBPL6,PTPRA,BMPR2,PPIA,PTPRN,APP,NEGR1,ATP2B2,ST7,PTGES3
All DEGs	Ex-NRGN:231	CACNA1C	7	51	300	1465	0.924020909021771	SCN2A,ITM2C,PTPRA,BMPR2,PTPRN,APP,ATP2B2
All DEGs	Ex-NRGN:231	CUL3	2	16	62	312	0.86344475680584	PPIA,UCHL1
All DEGs	Ex-NRGN:231	HCN1	13	44	363	1225	0.56349738709771	PCM1,HACD3,SCN2A,RAB5B,ITM2C,OSBPL6,BMPR2,PPFIA2,RPL28,RPL4,ATP2B2,ST7,PTGES3
All DEGs	Ex-NRGN:231	RIMS1	11	26	156	641	0.0304834734209373	PCM1,ELAVL3,HACD3,PPFIA2,HNRNPDL,GRIP1,TNIK,YWHAH,RTN1,RPL4,HNRNPM
All DEGs	Ex-NRGN:231	SYNGAP1	7	34	175	917	0.480689439698693	ATP6V1A,EPN2,ITM2C,TNIK,WASF1,NEGR1,SEC23A
All DEGs	Ex-NRGN:231	TCF4	1	15	26	446	0.599832337159868	UCHL1
All DEGs	Ex-SZTR:1077	All combined	40	143	431	1668	0.301846014321755	TTYH3,ICA1,PTBP3,SGCE,RHOT1,SCN3B,IGLON5,PTPRO,SCN2A,BTBD2,HM13,RAB8B,GGA3,EPS15L1,SYT13,MIA3,OSBPL3,SMAP2,ACSL4,EPHA6,CACNA2D2,CNKSR2,NTRK3,WASF3,ATP2B3,EPHA7,HMGB1,ATP8A2,MCU,MAGI3,PPP2CB,ZNF326,CLIP1,HADHB,NEGR1,SLC43A2,PDE4DIP,SYN2,HS6ST2,CACNA1E
All DEGs	Ex-SZTR:1077	Week 2	14	94	179	923	0.906700324734207	ACSL4,JAKMIP2,RHOT1,PSMD11,AGAP3,OSBPL6,ADGRL3,MIB1,MIA3,NRP1,SYT11,PLCB4,RFTN1,PDE4DIP
All DEGs	Ex-SZTR:1077	Week 3	24	122	236	1300	0.362275354014032	ACSL4,JAKMIP2,ICA1,ROBO1,PTPRO,BTBD2,AGAP3,POM121C,KCTD16,GGA3,EPHA7,DYNLL2,ADGRL3,MIB1,MIA3,CLIP1,NRP1,HADHB,SYT11,NEGR1,SLC43A2,PRKACB,RFTN1,PDE4DIP
All DEGs	Ex-SZTR:1077	Week 4	36	87	364	1119	0.0448665900296795	PTBP3,SNPH,IGLON5,ROBO1,PTPRO,BTBD2,SRSF9,PKP4,POM121C,RNPS1,GGA3,DDX1,MIA3,FLOT1,PAICS,PDCD6IP,ACSL4,CACNA2D2,IQSEC1,CNKSR2,MSI2,WASF3,DLG4,ATP2B3,EPHA7,STX1A,LRPPRC,ZNF326,PPP2CB,CLIP1,HADHB,NEGR1,SLC43A2,RFTN1,PDE4DIP,SYN2
All DEGs	Ex-SZTR:1077	Week 7	57	131	386	1194	0.00296313509657019	TTYH3,RAB35,RET,SGCE,SNPH,SCN3B,IGLON5,PTPRO,SCN2A,BTBD2,HM13,RAB8B,RAB3C,RAB5B,GGA3,MAPK8IP3,OSBPL6,REPS1,RAB21,ADGRL3,EPS15L1,DCTN5,SYT13,MIB1,MIA3,NRP1,SYT11,FLOT1,PAICS,RRAS2,OSBPL3,SMAP2,ACSL4,JAKMIP2,EPHA6,CACNA2D2,IQSEC1,PCLO,NTRK3,DLG4,ATP2B3,EPHA7,ATP8A2,GFRA1,MCU,SRGAP2,MAGI3,RIMS2,CLIP1,HADHB,NEGR1,SLC43A2,MYH14,NF2,PDE4DIP,HS6ST2,CACNA1E
All DEGs	Ex-SZTR:1077	CACNA1C	23	124	300	1465	0.746021986529562	ICA1,PTBP3,SGCE,SCN3B,PTPRO,SCN2A,SYT13,SNRPA1,NRP1,SYT11,FLOT1,ACSL4,EPHA6,NTRK3,ATP2B3,EPHA7,DYNLL2,ATP8A2,ZNF326,HADHB,SLC43A2,PDE4DIP,HS6ST2
All DEGs	Ex-SZTR:1077	CUL3	3	33	62	312	0.977878862986871	HM13,SYT11,TUBA1A
All DEGs	Ex-SZTR:1077	HCN1	37	115	363	1225	0.298712434759798	TTYH3,RET,SGCE,KHDRBS3,RHOT1,PTPRO,SCN2A,RAB8B,RAB5B,OSBPL6,REPS1,RAB21,ADGRL3,EPS15L1,SYT13,TENM1,MIA3,SYT11,OSBPL3,SMAP2,ACSL4,JAKMIP2,EPHA6,PCLO,MARK3,ATP2B3,EPHA7,STX1A,ATP8A2,MCU,MAGI3,CLIP1,SLC43A2,MYH14,PDE4DIP,HS6ST2,CACNA1E
All DEGs	Ex-SZTR:1077	RIMS1	18	51	156	641	0.0453382790831022	PLEKHA5,IQSEC1,PCLO,ERC1,HNRNPU,KCTD16,DDX3X,ELAVL4,YWHAH,ERC2,RTN1,MIA3,PPP2CB,RIMS2,SYT11,FLOT1,LSAMP,PSMD12
All DEGs	Ex-SZTR:1077	SYNGAP1	17	89	175	917	0.545398810851441	CACNA2D2,RHOA,RAB35,IQSEC1,KHDRBS3,CNKSR2,IGLON5,WASF3,BTBD2,SRSF9,RAB3C,PKP4,DLG4,GGA3,NEGR1,FLOT1,SYN2
All DEGs	Ex-SZTR:1077	TCF4	2	32	26	446	0.572837197996198	HMGB1,NEFH
