Gene	Chr	Start	End	SNP	Pvalue
HIST1H4C	6	26104104	26104518	rs13195636	2.901E-41
HIST1H4B	6	26027124	26027480	rs13195636	2.901E-41
HIST1H4A	6	26021907	26022278	rs13195636	2.901E-41
HIST1H4G	6	26246886	26247259	rs13195636	2.901E-41
FHIT	3	59735036	61237133	rs9813516	1.665E-09
C3orf84	3	49215065	49229291	rs2710323	6.552E-21
HIST1H4D	6	26188938	26189304	rs13195636	2.901E-41
HIST1H4K	6	27798952	27799305	rs13195636	2.901E-41
HIST1H4J	6	27791884	27792257	rs13195636	2.901E-41
HSPA9	5	137890571	137911133	rs10117	7.359E-12
HIST1H4H	6	26281283	26285762	rs13195636	2.901E-41
HIST1H4L	6	27840926	27841289	rs13195636	2.901E-41
PDCD11	10	105156405	105206049	rs79668541	2.389E-24
PMM1	22	41972898	41985894	rs5751191	2.181E-14
HIST1H4F	6	26240561	26240976	rs13195636	2.901E-41
HIST1H4E	6	26204858	26206266	rs13195636	2.901E-41
SPR	2	73114489	73119287	rs999494	0.000000015
SLC28A1	15	85427885	85518876	rs11638554	1.369E-14
ZNF707	8	144766622	144796068	rs11136325	1.992E-09
ZSWIM6	5	60628100	60841997	rs7701440	1.696E-17
RNF112	17	19314438	19320589	rs4073003	2.651E-12
DRAP1	11	65686728	65689032	rs58950470	1.604E-09
MEI1	22	42095503	42195460	rs5751191	2.181E-14
OR9I1	11	57885972	57886916	rs7938083	1.041E-10
SGSM3	22	40766595	40806293	rs5751191	2.181E-14
HIST1H4I	6	27107076	27108418	rs13195636	2.901E-41
SP9	2	175199674	175203220	rs9287971	8.872E-09
SP1	12	53773960	53810230	rs61928076	4.227E-08
GOLGA6L20	15	83098710	83108085	rs4779050	5.036E-09
PPP2R2A	8	26149007	26230196	rs3808581	4.046E-12
PPP2R2B	5	145967936	146464347	rs1126057	2.133E-08
SPPL3	12	121200313	121342174	rs2649999	5.23E-10
RPEL1	10	105005644	105007773	rs79668541	2.389E-24
COL7A1	3	48601506	48632700	rs2710323	6.552E-21
PRRG2	19	50083903	50094272	rs2304205	3.469E-15
TRAPPC3	1	36602173	36615098	rs581459	1.48E-09
MAZ	16	29817427	29823649	rs3814883	2.791E-16
SPPL2C	17	43922256	43924438	rs2532240	8.299E-11
ITGA9	3	37493606	37865005	rs71323641	3.893E-08
ATP2A2	12	110718561	110788898	rs4766428	3.584E-17
ALDH3A1	17	19641297	19652256	rs9891739	1.847E-08
GTF3C2	2	27548716	27579868	rs12474906	1.155E-08
AL035681.1	22	41685388	41685686	rs5751191	2.181E-14
DENND4B	1	153901977	153919172	rs10127983	1.18E-08
CSDE1	1	115259534	115301297	rs2224086	6.777E-09
PAM16	16	4381550	4405608	rs8048039	1.05E-08
FBXL15	10	104178946	104182893	rs79668541	2.389E-24
DNAH10OS	12	124410971	124419531	rs12311848	4.797E-08
MPV17	2	27532360	27548547	rs12474906	1.155E-08
GRAPL	17	19030782	19062489	rs4073003	2.651E-12
FAM212A	3	49840687	49842463	rs2710323	6.552E-21
C14orf2	14	104378625	104394606	rs10873538	1.702E-14
ANAPC7	12	110810705	110841535	rs4766428	3.584E-17
ZEB2	2	145141648	145282147	rs12991836	6.557E-15
KCNH6	17	61600695	61626338	rs6504163	8.246E-10
NTNG2	9	135037334	135119921	rs72761691	1.668E-08
RD3L	14	104406763	104408645	rs10873538	1.702E-14
PPTC7	12	110969120	111021125	rs4766428	3.584E-17
TMEM192	4	165995574	166129701	rs7699241	2.114E-08
GIT2	12	110367607	110434194	rs4766428	3.584E-17
PPP4C	16	30087299	30096698	rs3814883	2.791E-16
C9orf114	9	131581930	131592100	rs6478858	2.473E-08
SESN2	1	28586038	28609002	rs61786047	2.458E-08
GOLPH3L	1	150618701	150669630	rs12138231	1.809E-09
MUS81	11	65624597	65635124	rs58950470	1.604E-09
NDUFAF7	2	37458774	37480546	rs3770752	1.952E-11
NDUFAF3	3	49057892	49060928	rs2710323	6.552E-21
NDUFAF2	5	60240956	60448853	rs7701440	1.696E-17
OR2H2	6	29555683	29556745	rs13195636	2.901E-41
OR2H1	6	29424958	29432105	rs13195636	2.901E-41
ARF5	7	127228399	127231759	rs35045093	2.021E-08
AC007382.1	2	37068327	37068530	rs3770752	1.952E-11
EFCAB6	22	43924624	44208217	rs76365544	3.854E-08
AP3D1	19	2100988	2164464	rs144821294	1.448E-08
AIG1	6	143381633	143661441	rs9390083	1.247E-08
ARTN	1	44398992	44402913	rs11210892	1.415E-16
SZT2	1	43855553	43918321	rs11210892	1.415E-16
DBNDD1	16	90071273	90086536	rs11076631	7.285E-10
GLTP	12	110288748	110318293	rs4766428	3.584E-17
RNF111	15	59157374	59389618	rs11854073	4.406E-08
SULT1A3	16	30205754	30215631	rs3814883	2.791E-16
NOL9	1	6581407	6614595	rs11122119	8.494E-09
OR4B1	11	48238344	48239314	rs12285419	1.071E-16
MOB4	2	198380295	198418423	rs2914983	2.058E-14
SRPK2	7	104751151	105039755	rs2252074	1.579E-14
ABCD2	12	39943835	40013553	rs1463209	4.988E-10
CXXC5	5	139026884	139063467	rs9687282	8.101E-09
CXXC4	4	105389469	105416058	rs2905625	5.322E-09
MGRN1	16	4666494	4740975	rs8048039	1.05E-08
CUEDC2	10	104183002	104192418	rs79668541	2.389E-24
IPO13	1	44412611	44433694	rs11210892	1.415E-16
CPEB1	15	83211951	83317612	rs4779050	5.036E-09
