Gene	Chr	Start	End	SNP	Pvalue	FINEMAP	SMR	Network	Overlap
MORN1	1	2252692	2323146	rs2494638	2.297e-12	FALSE	FALSE	FALSE	FALSE
RER1	1	2323267	2336883	rs2494638	2.297e-12	FALSE	FALSE	FALSE	FALSE
PEX10	1	2336236	2345236	rs2494638	2.297e-12	FALSE	FALSE	FALSE	FALSE
PLCH2	1	2357419	2436969	rs2494638	2.297e-12	TRUE	FALSE	FALSE	FALSE
PANK4	1	2439972	2458039	rs2494638	2.297e-12	FALSE	FALSE	FALSE	FALSE
PLEKHG5	1	6526152	6580121	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
NOL9	1	6581407	6614595	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
TAS1R1	1	6615241	6639817	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
ZBTB48	1	6640061	6649340	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
KLHL21	1	6650784	6674667	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
PHF13	1	6673745	6684093	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
THAP3	1	6684926	6695646	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
DNAJC11	1	6694228	6761984	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
CAMTA1	1	6845384	7829766	rs11122119	3.503e-08	FALSE	FALSE	FALSE	FALSE
SLC45A1	1	8377886	8404227	rs2252865	1.465e-10	FALSE	FALSE	FALSE	FALSE
RERE	1	8412457	8877702	rs2252865	1.465e-10	FALSE	TRUE	FALSE	FALSE
ENO1	1	8921061	8939308	rs2252865	1.465e-10	FALSE	FALSE	TRUE	FALSE
CA6	1	9005926	9035151	rs2252865	1.465e-10	FALSE	FALSE	FALSE	FALSE
SESN2	1	28586038	28609002	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
MED18	1	28655513	28662476	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
PHACTR4	1	28696114	28826881	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
RCC1	1	28832455	28865812	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
TRNAU1AP	1	28879597	28905051	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
TAF12	1	28915835	28969597	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
RAB42	1	28918712	28921955	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
GMEB1	1	28995244	29045865	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
YTHDF2	1	29063133	29096287	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
OPRD1	1	29138654	29190208	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
EPB41	1	29213603	29446553	rs61786047	1.809e-08	FALSE	FALSE	FALSE	FALSE
ZMYM1	1	35525387	35581460	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
SFPQ	1	35641979	35658749	rs645383	3.883e-10	FALSE	FALSE	TRUE	FALSE
ZMYM4	1	35734568	35887659	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
KIAA0319L	1	35899091	36023551	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
NCDN	1	36023074	36032875	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
TFAP2E	1	36038971	36060929	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
PSMB2	1	36067185	36107445	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
C1orf216	1	36179476	36185073	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
CLSPN	1	36185819	36235568	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
AGO4	1	36273773	36323491	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
AGO1	1	36335409	36395211	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
AGO3	1	36396319	36538101	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
TEKT2	1	36549676	36553876	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
ADPRHL2	1	36554476	36559533	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
COL8A2	1	36560837	36590821	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
TRAPPC3	1	36602173	36615098	rs645383	3.883e-10	FALSE	FALSE	FALSE	FALSE
MAP7D1	1	36621180	36646450	rs645383	3.883e-10	FALSE	FALSE	TRUE	FALSE
THRAP3	1	36690017	36770958	rs645383	3.883e-10	FALSE	FALSE	TRUE	FALSE
C1orf210	1	43747554	43751288	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
TIE1	1	43766664	43788779	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
MPL	1	43803478	43818443	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
CDC20	1	43824626	43828874	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
ELOVL1	1	43829068	43833696	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
MED8	1	43849588	43855479	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
SZT2	1	43855553	43918321	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
HYI	1	43916824	43919660	rs2970610	4.46e-16	FALSE	TRUE	FALSE	FALSE
PTPRF	1	43990858	44089343	rs2970610	4.46e-16	FALSE	FALSE	TRUE	FALSE
KDM4A	1	44115829	44171186	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
ST3GAL3	1	44171495	44396831	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
ARTN	1	44398992	44402913	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
IPO13	1	44412611	44433694	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
DPH2	1	44435672	44439041	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
ATP6V0B	1	44440159	44443967	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
B4GALT2	1	44444615	44456840	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
CCDC24	1	44457031	44462200	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
SLC6A9	1	44457172	44497139	rs2970610	4.46e-16	FALSE	FALSE	FALSE	FALSE
PDE4B	1	66258197	66840259	rs6588168	4.163e-10	TRUE	FALSE	TRUE	TRUE
NEGR1	1	71861623	72748417	rs11209828	4.806e-10	TRUE	FALSE	TRUE	TRUE
TTLL7	1	84330711	84464833	rs10157075	2.57e-09	FALSE	FALSE	FALSE	FALSE
SLC44A3	1	95285898	95360802	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
CNN3	1	95362507	95392834	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
ALG14	1	95439963	95538501	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
TMEM56	1	95582894	95663163	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
TMEM56-RWDD3	1	95583479	95712781	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
RWDD3	1	95699711	95712781	rs1023330	1.827e-08	FALSE	FALSE	FALSE	FALSE
PTBP2	1	97187221	97289294	rs61789527	9.987e-10	FALSE	FALSE	TRUE	FALSE
DPYD	1	97543299	98386605	rs4950119	1.606e-20	TRUE	FALSE	FALSE	FALSE
FMO5	1	146646930	146714700	rs61838368	4.291e-08	FALSE	FALSE	FALSE	FALSE
CHD1L	1	146714291	146767443	rs61838368	4.291e-08	FALSE	FALSE	FALSE	FALSE
BCL9	1	147013182	147098017	rs61838368	4.291e-08	FALSE	FALSE	FALSE	FALSE
OTUD7B	1	149909705	149982625	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
VPS45	1	150039369	150117505	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
PLEKHO1	1	150121373	150136916	rs12138231	2.03e-10	FALSE	FALSE	TRUE	FALSE
ANP32E	1	150190717	150208504	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
CA14	1	150229554	150237478	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
APH1A	1	150237804	150241980	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
C1orf54	1	150240600	150253327	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
MRPS21	1	150266289	150281414	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
PRPF3	1	150293925	150325671	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
RPRD2	1	150335567	150449042	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
TARS2	1	150459887	150480078	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
ECM1	1	150480538	150486265	rs12138231	2.03e-10	FALSE	FALSE	FALSE	FALSE
