ListName	GeneName	IsInteractor	Chr	StartPos	EndPos
CACNA1C_wk3_1	DDX52	TRUE	17	35969787	36003493
CACNA1C_wk3_1	FLOT2	TRUE	17	27206353	27224697
CACNA1C_wk3_1	ADGRL2	TRUE	1	81771845	82458120
CACNA1C_wk3_1	ICA1	TRUE	7	8152814	8302317
CACNA1C_wk3_1	PTPRS	TRUE	19	5158506	5340814
CACNA1C_wk3_1	CEP68	TRUE	2	65283500	65314138
CACNA1C_wk3_1	DYNLL2	TRUE	17	56160776	56172897
CACNA1C_wk3_1	SLC4A8	TRUE	12	51785101	51902980
CACNA1C_wk3_1	PPIA	TRUE	7	44836279	44864163
CACNA1C_wk3_1	ATP6V0D1	TRUE	16	67471917	67515140
CACNA1C_wk3_1	PAPSS1	TRUE	4	108511433	108641608
CACNA1C_wk3_1	PCM1	TRUE	8	17780349	17885478
CACNA1C_wk3_1	CNTN1	TRUE	12	41086244	41466220
CACNA1C_wk3_1	ISLR2	TRUE	15	74392652	74430881
CACNA1C_wk3_1	ADGRL3	TRUE	4	62066976	62944053
CACNA1C_wk3_1	APP	TRUE	21	27252861	27543446
CACNA1C_wk3_1	PLXNA4	TRUE	7	131808091	132333447
CACNA1C_wk3_1	PRKACA	TRUE	19	14202500	14228896
CACNA1C_wk3_1	SYT5	TRUE	19	55682567	55691809
CACNA1C_wk3_1	CEP350	TRUE	1	179923873	180084015
CACNA1C_wk3_1	PRKAR2A	TRUE	3	48782030	48885279
CACNA1C_wk3_1	THBS1	TRUE	15	39873280	39891667
CACNA1C_wk3_1	CEP135	TRUE	4	56815037	56899529
CACNA1C_wk3_1	JAK1	TRUE	1	65298912	65432187
CACNA1C_wk3_1	CDK5RAP2	TRUE	9	123151147	123342448
CACNA1C_wk3_1	ACVR2A	TRUE	2	148602086	148688393
CACNA1C_wk3_1	PCNT	TRUE	21	47744036	47865682
CACNA1C_wk3_1	HLA-A	TRUE	6	29909037	29913661
CACNA1C_wk3_1	KIAA1024	TRUE	15	79724858	79764632
CACNA1C_wk3_1	PHB2	TRUE	12	7074490	7079988
CACNA1C_wk3_1	NTRK2	TRUE	9	87283466	87638505
CACNA1C_wk3_1	HACD3	TRUE	15	65822756	65870687
CACNA1C_wk3_1	ICA1L	TRUE	2	203640690	203736708
CACNA1C_wk3_1	KIAA1549	TRUE	7	138516126	138666064
CACNA1C_wk3_1	CEP131	TRUE	17	79163393	79196799
CACNA1C_wk3_1	HBB	TRUE	11	5246694	5250625
CACNA1C_wk3_1	CACNB3	TRUE	12	49207577	49222724
CACNA1C_wk3_1	MIB1	TRUE	18	19284918	19450918
CACNA1C_wk3_1	ROBO1	TRUE	3	78646390	79816965
CACNA1C_wk3_1	EPHA3	TRUE	3	89156674	89531284
CACNA1C_wk3_1	ODF2	TRUE	9	131217465	131263571
CACNA1C_wk3_1	CEP128	TRUE	14	80943330	81425861
CACNA1C_wk3_1	PCDHA4	TRUE	5	140186659	140391929
CACNA1C_wk3_1	CROCC	TRUE	1	17066768	17299474
CACNA1C_wk3_1	ATP2C1	TRUE	3	130569439	130735556
CACNA1C_wk3_1	AKAP9	TRUE	7	91570181	91739987
CACNA1C_wk3_1	PCDHGB6	TRUE	5	140787770	140892546
CACNA1C_wk3_1	NRP1	TRUE	10	33466420	33625190
CACNA1C_wk3_1	CEP57	TRUE	11	95523129	95565857
CACNA1C_wk3_1	MEF2C	TRUE	5	88013975	88199922
CACNA1C_wk3_1	PICK1	TRUE	22	38452318	38471708
CACNA1C_wk3_1	CACNA2D1	TRUE	7	81575760	82073114
CACNA1C_wk3_1	HLA-C	TRUE	6	31236526	31239907
CACNA1C_wk3_1	ALB	TRUE	4	74262831	74287129
